query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e12_query_a_delete_two,e12_distractor_0,1,False,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,6.474003314971924,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.22499999403953552,9.473859369754791,0.00016254186630249023,0.0,3.00001859664917,-0.16499999165534973
e12_query_a_delete_two,e12_distractor_0,1,False,maximum_candidate,1,2,1,0.46399998664855957,0.5559999942779541,1.4743303060531616,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.39100000262260437,4.474186360836029,-0.00016254186630249023,0.0,2.999693512916565,-0.16499999165534973
e12_query_a_delete_two,e12_distractor_1,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,9.474021911621094,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.17949999457959032,9.474021911621094,0.0,0.0,0.0,-0.16499999165534973
e12_query_a_delete_two,e12_distractor_1,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7200000286102295,4.474023818969727,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.3445000011360999,4.474023818969727,0.0,0.0,0.0,-0.33000001311302185
e12_query_a_delete_two,e12_distractor_1,1,False,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,6.474001884460449,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.17949999868869781,9.473858654499054,0.00016325712203979492,0.0,3.0000200271606445,0.0
e12_query_a_delete_two,e12_distractor_1,1,False,maximum_candidate,1,2,1,0.46399998664855957,0.5559999942779541,1.4743303060531616,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.3449999988079071,4.474187076091766,-0.00016325712203979492,0.0,2.999693512916565,-0.16499999165534973
e12_query_a_delete_two,e12_distractor_4,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,9.474021911621094,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.16433333174548187,9.474021911621094,0.0,-1.3877787807814457e-17,0.0,0.0
e12_query_a_delete_two,e12_distractor_4,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7200000286102295,4.474023818969727,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.32933333333493847,4.474023818969727,0.0,0.0,0.0,-0.33000001311302185
e12_query_a_delete_two,e12_distractor_5,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,6.474003314971924,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.22499999403953552,9.473859369754791,0.00016254186630249023,0.0,3.00001859664917,0.0
e12_query_a_delete_two,e12_distractor_5,0,True,maximum_candidate,1,1,1,0.29899999499320984,0.39100000262260437,1.4743303060531616,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.39100000262260437,4.474186360836029,-0.00016254186630249023,0.0,2.999693512916565,0.0
e12_query_a_delete_two,e12_reference_a,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,9.474021911621094,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.22499999403953552,9.474021911621094,0.0,0.0,0.0,0.0
e12_query_a_delete_two,e12_reference_a,0,True,true_source,1,1,1,0.29899999499320984,0.38999998569488525,4.474023818969727,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.38999998569488525,4.474023818969727,0.0,0.0,0.0,0.0
e12_query_a_merged,e12_distractor_0,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,9.474021911621094,0.1340000033378601,0.22499999403953552,9.474021911621094,0.1340000033378601,0.4069999918793179,9.474021196365356,7.152557373046875e-07,0.0,0.0,0.0
